subd_id,subd_name,visual_category,visual_color,tag
1,Clinical Cancer Research,Medical Sciences,#FF1177,category/medical-sciences
2,Circulation,Medical Sciences,#FF1177,category/medical-sciences
3,Data Mining,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
4,Protein Science,Biotechnology,#39FF14,category/biotechnology
5,Signal Processing,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
6,Neuroscience; Molecular & Cellular,Neuroscience,#FFFF00,category/neuroscience
7,Anesthetics & Analgesics,Medical Sciences,#FF1177,category/medical-sciences
8,Urology,Medical Sciences,#FF1177,category/medical-sciences
9,Immunology,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
10,Macromolecules & Polymers,Chemistry,#00FFFF,category/chemistry
11,Affective Disorders,Neuroscience,#FFFF00,category/neuroscience
12,Oncology,Medical Sciences,#FF1177,category/medical-sciences
13,Surface Science,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
14,Nonlinear Analysis,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
15,Hospital Financial Management,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
16,Rheumatology,Medical Sciences,#FF1177,category/medical-sciences
17,Occupational Health,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
18,Organic Chemistry,Chemistry,#00FFFF,category/chemistry
19,Leukemia,Medical Sciences,#FF1177,category/medical-sciences
20,Virology,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
21,Plant Physiology,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
22,Allergy & Clinical Immunology,Medical Sciences,#FF1177,category/medical-sciences
23,Material Science,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
24,Dermatology,Medical Sciences,#FF1177,category/medical-sciences
25,Kidney,Medical Sciences,#FF1177,category/medical-sciences
26,Pharmacology Science,Medical Sciences,#FF1177,category/medical-sciences
27,Law,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
28,Medical Imaging,Neuroscience,#FFFF00,category/neuroscience
29,Bacteriology,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
30,Marine Biology,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
31,Developmental Biology,Medical Sciences,#FF1177,category/medical-sciences
32,Digestion,Medical Sciences,#FF1177,category/medical-sciences
33,Toxicology Applied Pharmacology,Medical Sciences,#FF1177,category/medical-sciences
34,Transportation Research,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
35,Inorganic Chemistry,Chemistry,#00FFFF,category/chemistry
36,Chemical Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
37,Pharmaceutical Research,Chemistry,#00FFFF,category/chemistry
38,Semiconducting Materials,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
39,Diabetes Care,Medical Sciences,#FF1177,category/medical-sciences
40,Clinical Neurophysiology,Neuroscience,#FFFF00,category/neuroscience
41,Ophthalmology,Medical Sciences,#FF1177,category/medical-sciences
42,Nutrition,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
43,Finance,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
44,Neurosurgery,Neuroscience,#FFFF00,category/neuroscience
45,Fertility,Medical Sciences,#FF1177,category/medical-sciences
46,Applied Optics,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
47,Nuclear Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
48,Molecular Cell Biology,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
49,Food Chemistry,Chemistry,#00FFFF,category/chemistry
50,Obstetrics,Medical Sciences,#FF1177,category/medical-sciences
51,Chest & Respiratory,Medical Sciences,#FF1177,category/medical-sciences
52,Earthquake Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
53,Zoology,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
54,Pharmaceutical Design,Chemistry,#00FFFF,category/chemistry
55,AntiMicrobial Agents,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
56,Systems Software,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
57,Decision Support Systems,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
58,Business Ethics,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
59,Vascular Surgery,Medical Sciences,#FF1177,category/medical-sciences
60,Pulp & Paper,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
61,Seismology,Earth Sciences,#FF0055,category/earth-sciences
62,Bone Joint Surgery,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
63,Neurology,Neuroscience,#FFFF00,category/neuroscience
64,Algebra,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
65,Antenna,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
66,Circuit Systems,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
67,Nursing Specialists,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
68,Retinal Surgery,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
69,Psychopharmacology,Neuroscience,#FFFF00,category/neuroscience
70,Aeronautics & Astronautics,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
71,Psychoanalysis,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
72,Oceanography,Earth Sciences,#FF0055,category/earth-sciences
73,Sports Medicine,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
74,Operations Research,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
75,Chromatography; Electrophoresis,Chemistry,#00FFFF,category/chemistry
76,Pediatrics,Medical Sciences,#FF1177,category/medical-sciences
77,Cardiovascular,Medical Sciences,#FF1177,category/medical-sciences
78,Paleobiology,Earth Sciences,#FF0055,category/earth-sciences
79,Economics,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
80,Hypertension,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
81,Human Molecular Genetics,Medical Sciences,#FF1177,category/medical-sciences
82,Clinical Endocrinology,Medical Sciences,#FF1177,category/medical-sciences
83,Dietetics,Medical Sciences,#FF1177,category/medical-sciences
84,Clinical Microbiology,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
85,Hospital Pharmacy,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
86,Gas Turbines,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
87,Remote Sensing,Earth Sciences,#FF0055,category/earth-sciences
88,Computational Chemistry,Chemistry,#00FFFF,category/chemistry
89,Surgery,Medical Sciences,#FF1177,category/medical-sciences
90,Ceramics,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
91,AIDS Research,Medical Sciences,#FF1177,category/medical-sciences
92,Military Aviation,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
93,Medical Records,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
94,Statistics,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
95,Applied Economics,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
96,Automatic Control,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
97,Atmospheric Science,Earth Sciences,#FF0055,category/earth-sciences
98,Automotive Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
99,BioStatistics,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
100,Employee Health Benefit Plans,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
101,Transplantation,Medical Sciences,#FF1177,category/medical-sciences
102,Alloys,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
103,Astronomy & Astrophysics,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
104,Substance-abuse Treatment,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
105,Research Policy; Technology Management,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
106,Drug Discovery,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
107,Animal Science,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
108,Chaos Fractals & Complexity,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
109,Environmental Contamination,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
110,Otolaryngology; Laryngoscope,Neuroscience,#FFFF00,category/neuroscience
111,Mechanical Design Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
112,Classics,Arts & Humanities,#FFEF00,category/arts-and-humanities
113,Biological Conservation,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
114,Thoracic Surgery,Medical Sciences,#FF1177,category/medical-sciences
115,Phytochemistry,Chemistry,#00FFFF,category/chemistry
116,Tropical Medicine,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
117,Food Protection,Biotechnology,#39FF14,category/biotechnology
118,Broadband Communication,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
119,Energy Fuel,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
120,Soil Quality,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
121,Integrated Circuit Design,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
122,Philosophy Psychology,Arts & Humanities,#FFEF00,category/arts-and-humanities
123,Construction & Project Management,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
124,Social Psychology,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
125,High Energy Physics,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
126,Strategic Management,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
127,Genomics & Nucleic Acids,Biotechnology,#39FF14,category/biotechnology
128,Heat Transfer,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
129,Cement & Concrete,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
130,Pathology,Medical Sciences,#FF1177,category/medical-sciences
131,Pest Management Science,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
132,Corrosion,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
133,Veterinary Science,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
134,Teacher Education; Evaluation,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
135,Stem Cells,Medical Sciences,#FF1177,category/medical-sciences
136,Image Processing,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
137,Neural Networks,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
138,Nursing Education,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
139,Intensive Care,Medical Sciences,#FF1177,category/medical-sciences
140,Alternative Complementary Medicine,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
141,Petroleum Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
142,Music & Theatre,Arts & Humanities,#FFEF00,category/arts-and-humanities
143,Memory & Cognition,Neuroscience,#FFFF00,category/neuroscience
144,Vision,Neuroscience,#FFFF00,category/neuroscience
145,Communication Research,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
146,BioInformatics,Biotechnology,#39FF14,category/biotechnology
147,Mechanics of Solids & Structures,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
148,Pharmacy,Medical Sciences,#FF1177,category/medical-sciences
149,Geomorphology,Earth Sciences,#FF0055,category/earth-sciences
150,Psychosis; Schizophrenia,Neuroscience,#FFFF00,category/neuroscience
151,BioEthics,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
152,Parallel Computing,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
153,Power Distribution,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
154,Gerontology,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
155,Wood,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
156,Discrete Applied Mathematics,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
157,Geology & Tectonics,Earth Sciences,#FF0055,category/earth-sciences
158,GeoChemistry,Earth Sciences,#FF0055,category/earth-sciences
159,Mobile Networks,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
160,Artificial Intelligence,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
161,Electro Analytical Chemistry,Chemistry,#00FFFF,category/chemistry
162,Dental Education,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
163,Enzyme Microbiological Techniques,Biotechnology,#39FF14,category/biotechnology
164,Library Science; Information Retrieval,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
165,Biomaterials,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
166,Quaternary Research,Earth Sciences,#FF0055,category/earth-sciences
167,Endoscopic Surgery,Medical Sciences,#FF1177,category/medical-sciences
168,Composites,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
169,Language Learning,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
170,American History,Arts & Humanities,#FFEF00,category/arts-and-humanities
171,Leadership & Organizational Behavior,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
172,Agricultural Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
173,Computer-Aided Process Planning,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
174,Geriatrics,Neuroscience,#FFFF00,category/neuroscience
175,Solid State Electronics,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
176,Optics & Lasers,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
177,Wool,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
178,Biomechanics,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
179,Molecular Physics,Chemistry,#00FFFF,category/chemistry
180,Comparative Animal Physiology,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
181,Political Science,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
182,Science History,Arts & Humanities,#FFEF00,category/arts-and-humanities
183,Poetry,Arts & Humanities,#FFEF00,category/arts-and-humanities
184,Nuclear Medicine,Medical Sciences,#FF1177,category/medical-sciences
185,Nanotechnology,Chemistry,#00FFFF,category/chemistry
186,Speech Recognition,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
187,Fluid Mechanics,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
188,Computer Graphics,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
189,Filtration Membrane,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
190,Clinical Infectious Disease,Medical Sciences,#FF1177,category/medical-sciences
191,Prosthetic Dentistry,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
192,Orthodontics,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
193,Robotic Systems,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
194,Dental Research,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
195,Atomic Spectrometry,Chemistry,#00FFFF,category/chemistry
196,Botany,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
197,Public Health Service,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
198,Political Geography,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
199,Catalysis,Chemistry,#00FFFF,category/chemistry
200,Radiation Protection,Medical Sciences,#FF1177,category/medical-sciences
201,Machine Tools,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
202,Veterinary Medicine,Microbiology & Immunology,#FF3131,category/microbiology-and-immunology
203,Periodontology,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
204,Birth Defects,Medical Sciences,#FF1177,category/medical-sciences
205,Thrombosis,Medical Sciences,#FF1177,category/medical-sciences
206,Freshwater Biology,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
207,Mental Health Nursing,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
208,Artificial Evolution,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
209,English Literature,Arts & Humanities,#FFEF00,category/arts-and-humanities
210,Plastic Surgery,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
211,Nursing Administration,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
212,Higher Education,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
213,Ecology,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
214,Modern Language,Arts & Humanities,#FFEF00,category/arts-and-humanities
215,Neurophysiology & Neuroscience,Neuroscience,#FFFF00,category/neuroscience
216,Mining,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
217,Aquaculture,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
218,Molecular Biological Evolution,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
219,Photonics,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
220,Urban Studies,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
221,Functional Analysis,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
222,Linguistics,Arts & Humanities,#FFEF00,category/arts-and-humanities
223,Photo-Optics,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
224,Spine,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
225,Robotics,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
226,Audiology,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
227,Soil Science,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
228,Simulation,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
229,Nuclear Instrumentation,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
230,Hispanic Studies,Arts & Humanities,#FFEF00,category/arts-and-humanities
231,Forest Science,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
232,Plasma Physics,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
233,Proteomics,Biotechnology,#39FF14,category/biotechnology
234,Symbolic Interaction,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
235,Child & Adolescent Psychiatry,Neuroscience,#FFFF00,category/neuroscience
236,General Practice,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
237,Environmental Management,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
238,Diabetes Metabolism,Medical Sciences,#FF1177,category/medical-sciences
239,Geotechnical Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
240,Instrumentation,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
241,Clinical Chemistry,Medical Sciences,#FF1177,category/medical-sciences
242,Fluid Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
243,Arthroscopy,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
244,Eating Disorders; Sex Roles,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
245,Water Quality & Resource Management,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
246,Ethnic Migration,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
247,Geriatric Psychiatry,Neuroscience,#FFFF00,category/neuroscience
248,Sound & Vibration,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
249,Ore Processing,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
250,Ethnology,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
251,Prenatal Diagnostics,Medical Sciences,#FF1177,category/medical-sciences
252,Cancer (translated),Medical Sciences,#FF1177,category/medical-sciences
253,Dielectrics,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
254,Atmospheric GeoPhysics,Earth Sciences,#FF0055,category/earth-sciences
255,Flavors & Fragrance,Chemistry,#00FFFF,category/chemistry
256,Numerical Methods in Engineering,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
257,EthnoPharmacology,Chemistry,#00FFFF,category/chemistry
258,Electrocardiography,Medical Sciences,#FF1177,category/medical-sciences
259,International Development,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
260,Electrochemistry,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
261,Political Studies,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
262,Molecular Endocrinology,Medical Sciences,#FF1177,category/medical-sciences
263,Surface Coating Technology,Physics & Mathematics,#FF00FF,category/physics-and-mathematics
264,Molecular Biochemical Parasitology,Environmental & Life Sciences,#CCFF00,category/environmental-and-life-sciences
265,Vocational Counseling,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
266,Oil & Natural Gas,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
267,International Conflict,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
268,Art History,Arts & Humanities,#FFEF00,category/arts-and-humanities
269,Applied Catalysis,Chemistry,#00FFFF,category/chemistry
270,Agricultural Economics,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
271,Social Work,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
272,Medical Insurance,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
273,Fluid Phase Equilibrium,Engineering & Materials Science,#00F5FF,category/engineering-and-materials-science
274,Biotechnology Trends,Biotechnology,#39FF14,category/biotechnology
275,Air Quality,Earth Sciences,#FF0055,category/earth-sciences
276,Search Engines; Web Crawling,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
277,Colloid,Chemistry,#00FFFF,category/chemistry
278,Applied Physiology; Muscle,Healthcare & Nursing,#FF9933,category/healthcare-and-nursing
279,Biblical Literature,Arts & Humanities,#FFEF00,category/arts-and-humanities
280,Fault Tolerant Computing,Computer Science & Engineering,#CC00FF,category/computer-science-and-engineering
281,Third World Political Economics,Social Sciences & Economics,#F4FF00,category/social-sciences-and-economics
